Python,64.79,3314
JavaScript,54.45,2785
HTML/CSS,51.1,2614
SQL,40.22,2057
Bash/Shell (all shells),34.47,1763
Java,29.97,1533
C++,29.05,1486
C,27,1381
C#,23.3,1192
TypeScript,22.76,1164
PHP,17.97,919
Rust,17.32,886
PowerShell,14.66,750
Go,11.16,571
Lua,9.93,508
Assembly,8.8,450
R,8.6,440
Kotlin,7.21,369
VBA,7.1,363
MATLAB,6.65,340
Dart,5.81,297
Visual Basic (.Net),5,256
Swift,4.2,215
Ruby,4.07,208
Delphi,3.77,193
Perl,3.73,191
GDScript,3.13,160
Haskell,3.09,158
Julia,2.85,146
Groovy,2.37,121
Lisp,2.35,120
Fortran,2.33,119
Objective-C,1.52,78
Scala,1.49,76
Elixir,1.45,74
Zig,1.39,71
Prolog,1.37,70
Solidity,1.09,56
Cobol,1,51
Ada,0.98,50
Clojure,0.98,50
OCaml,0.96,49
Apex,0.82,42
Erlang,0.78,40
SAS,0.76,39
F#,0.66,34
Nim,0.65,33
APL,0.55,28
Crystal,0.55,28
Raku,0.31,16
Flow,0.22,11
